100,0,45,-50,2,1,
100,0,55,-50,2,8,
200,0,15,-50,2,8,
200,0,85,-50,2,1,
300,0,50,-50,3,0,
400,0,66,-50,3,0,
500,0,20,-50,2,12,
500,0,30,-50,2,12,
600,0,80,-50,2,5,
600,0,70,-50,2,5,
700,0,20,-50,2,12,
700,0,30,-50,2,12,
800,0,80,-50,2,5,
800,0,70,-50,2,5,
900,0,33,-50,3,0,
1000,1,33,-50,1,0,
1000,1,66,-50,3,0,
1100,0,33,-50,5,0,
1100,0,66,-50,5,0,
1200,0,50,-50,3,0,
1300,0,15,-50,2,7,
1300,0,85,-50,2,14,
1400,0,45,-50,2,14,
1400,0,55,-50,2,7,
1500,0,15,-50,2,7,
1500,0,85,-50,2,14,
1600,0,50,-50,3,0,
1700,0,33,-50,3,0,
1700,0,66,-50,3,0,
1800,0,33,-50,3,0,
1800,0,66,-50,3,0,
1900,0,33,-50,3,0,
1900,0,66,-50,3,0,
2000,1,33,-50,2,0,
2000,1,66,-50,3,0,
2100,0,15,-80,1,1,
2100,0,25,-60,1,1,
2100,0,35,-40,1,1,
2100,0,65,-40,1,1,
2100,0,75,-60,1,1,
2100,0,85,-80,1,1,
2200,0,50,-50,3,0,
2300,0,15,-40,1,1,
2300,0,25,-60,1,1,
2300,0,35,-80,1,1,
2300,0,65,-80,1,1,
2300,0,75,-60,1,1,
2300,0,85,-40,1,1,
2400,0,33,-50,5,0,
2400,0,66,-50,5,0,
2500,0,15,-50,2,7,
2500,0,85,-50,2,14,
2600,0,45,-50,2,14,
2600,0,55,-50,2,7,
2700,0,15,-50,2,7,
2700,0,85,-50,2,14,
2800,0,45,-50,5,0,
2800,0,55,-50,5,0,
2900,0,30,-50,3,0,
2900,0,70,-50,3,0,
3000,1,33,-50,1,0,
3000,1,66,-50,2,0,
3100,0,33,-50,5,0,
3100,0,66,-50,5,0,
3200,0,15,-50,2,12,
3200,0,25,-50,2,12,
3300,0,66,-50,3,0,
3400,0,85,-50,2,5,
3400,0,75,-50,2,5,
3500,0,33,-50,3,0,
3600,0,15,-50,2,12,
3600,0,25,-50,2,12,
3700,0,66,-50,5,0,
3800,0,85,-50,2,5,
3800,0,75,-50,2,5,
3900,0,33,-50,5,0,
4000,1,40,-20,1,0,
4000,1,50,-220,2,0,
4000,1,60,-20,3,0,
4300,5,0,0,2,0,
fin
